id,position,customer,status,product_name,photo_url,is_deleted,previous_position,navodka_url
719,42B m.,Witte,null,Víko - Fanglager,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/719_Viko_-_Fanglager_00719.pdf"", ""title"": ""Návodka""}]"
722,43B m.,Witte,null,DIH - Housing,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/722_Dih_Housing.pdf"", ""title"": ""Návodka 1""}]"
723,42B m.,Witte,null,Rear pulley,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/723_Rear_Pulley_00723.pdf"", ""title"": ""Návodka""}]"
731,41C z.,Witte,null,Gleitstucke MKS L + R,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/731_00731_Gleitstucke_MKS_L_R.pdf"", ""title"": ""Návodka""}]"
733,43A m.,Witte,null,Kisi Kuplung,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/733_Kisi_kuplung_II_00733.pdf"", ""title"": ""Návodka""}]"
735,43C z.,Witte,null,Cover R,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/735_Cover_R_00735.pdf"", ""title"": ""Návodka""}]"
736,45B b.,Ideal,null,Retainer Hinten,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/736_Retainer_Hinten_L_R_00736.pdf"", ""title"": ""Návodka""}]"
737,45B c.,Ideal,null,Retainer Vorne,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/737_Retainer_Vorne_L_R_00737.pdf"", ""title"": ""Návodka""}]"
738,37B m.,Scherdel,null,Ventil Mini,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/738_Ventil_1086_327_107_DES001_rot_00738.pdf"", ""title"": ""Návodka 1""}, {""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/738_Ventil_1086_327_107_DES001_rot_-_novy_nastroj.pdf"", ""title"": ""Návodka 2""}]"
739,37B z.,AFSI,null,Trubka FR4609,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/739_Trubka_-_FR_4609.pdf"", ""title"": ""Návodka 1""}]"
740,47B c.,Škoda,null,Přepážka 2,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/740_Prepazka_2_00740.pdf"", ""title"": ""Návodka""}]"
435,42B h.,Witte,null,Gehause Kettenrad,null,false,null,null
441,41B b.,Witte,null,Stellhebel,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/441_Stellhebel.pdf"", ""title"": ""Návodka 1""}]"
746,51C c.,Škoda,null,Kryt vnitřní manual,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/746_Kryt_vnitrni_manual_L_R_00746.pdf"", ""title"": ""Návodka""}]"
541,41A b.,Witte,null,Stift,null,false,null,null
76,44C m.,Others,null,Klobouk PV 21 c 8-10 + Víko,null,false,null,null
761,48A c.,Škoda,null,Ventil__horni dil_III,null,false,null,null
78,45C b.,Ideal,null,AB2  Cab.  Retainer A / B / C / L / R   HK,null,false,null,null
786,38A c.,Others,null,NANOMASK-V4-S,null,false,null,null
787,37B c.,Others,null,NANOMASK-V4-M-stroj č.10,null,false,null,null
754,51A c.,Škoda,null,Miska držadla 2tl. RL,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/754_Miska_2tl._RL_00754.pdf"", ""title"": ""Návodka""}]"
438,41A h.,Witte,null,Jochschuh,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/438_Jochschuh.pdf"", ""title"": ""Návodka 1""}]"
756,50A z.,Škoda,null,Miska držadla 4tl. RL,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/756_Miska_4tl._RL_joystick_00756.pdf"", ""title"": ""Návodka""}]"
762,47C b.,Škoda,null,Ventil__spodni dil_III,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/762_Ventil_-_spodni_dil_-_nova_forma_II_00762.pdf"", ""title"": ""Návodka""}]"
763,38C b.,Scherdel,null,Securing Piston,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/763_Securing_Piston_00763.pdf"", ""title"": ""Návodka""}]"
765,48B m.,Škoda,null,Odpadkový koš - Pevný díl,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/765_Odpadkovy_kos-pevny_dil_Satinschwarz_00765.pdf"", ""title"": ""Návodka""}, {""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/765_Odpadkovy_kos-pevny_dil_WC4_00765.pdf"", ""title"": ""Navodka_alt""}]"
766,49A m.,Škoda,null,Odpadkový koš - Zajišťovací díl,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/766_Odpadkovy_kos-Zajistovaci_dil_00766.pdf"", ""title"": ""Návodka""}]"
768,37A b.,Scherdel,null,Ventil Mini 32x (gen IV) backup,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/768_Ventil_mini_32x_vakuum_00768.pdf"", ""title"": ""Návodka""}]"
771,38B c.,Scherdel,null,"Ventil malý ""mexicaner"" (gen IV) 32x backup",null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/771_Ventil_maly_32x_vakuum_lila_00771.pdf"", ""title"": ""Fialová""}, {""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/771_Ventil_maly_32x_vakuum_cerny_00771.pdf"", ""title"": ""Černá""}]"
772,38C c.,Scherdel,null,Ventil malý Erikaviolett (gen IV) 16x,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/772_Ventil_maly_16x_Ericaviolet_00772.pdf"", ""title"": ""Návodka""}]"
773,38C c.,Scherdel,null,Ventil malý Erikaviolett (gen IV) 16x backup,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/773_Ventil_maly_16x_Ericaviolet_00773.pdf"", ""title"": ""Návodka""}]"
776,38A b.,Scherdel,null,Ventil gross US,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/776_Ventil_velky_cerny_USA_00776.pdf"", ""title"": ""Černá""}]"
947,40C m.,Novares,null,Forma 21-33,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/947_00947_Forma_21-33.pdf"", ""title"": ""Návodka""}]"
962,48A č.,Škoda,null,Vedení levé + pravé,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/962_00962_Vedeni_L_R.pdf"", ""title"": ""Návodka""}]"
963,48A č.,Škoda,null,Držák motoru,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/963_00963_Nosic_motoru.pdf"", ""title"": ""Návodka""}]"
964,51B m.,Škoda,null,Cover NTW ND,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/964_00964_Cover_NTW_ND.pdf"", ""title"": ""Návodka""}]"
965,51C m.,Škoda,null,Cover NTW PGD,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/965_00965_Cover_NTW_PGD.pdf"", ""title"": ""Návodka""}]"
966,51A m.,Škoda,null,Klammer,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/966_00966_Klammer_ND.pdf"", ""title"": ""Návodka""}]"
795,44A m.,Witte,null,Umlenkhebel GoB L / R,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/795_Umlenkhebel_GOB_L_R_00795.pdf"", ""title"": ""Návodka""}]"
81,44B m.,Ideal,null,Klammer Haken  SVKL,null,false,null,null
82,44B m.,Ideal,null,Schale Netzhaken  SVKL,null,false,null,null
799,44A m.,Witte,null,Paddle GOB,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/799_Paddle_GOB_00799.pdf"", ""title"": ""Návodka""}]"
800,44B m.,Witte,null,Bowdenzug Abdeckung,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/800_Bowdenzug_Abdeckung_00800.pdf"", ""title"": ""Návodka""}]"
803,43B h.,Witte,null,Housing SMC,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/803_Housing_SMC_00803.pdf"", ""title"": ""Návodka""}]"
804,43A h.,Witte,null,Holder SMC,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/804_Holder_SMC_00804.pdf"", ""title"": ""Návodka""}]"
805,43C h.,Witte,null,Cap Bottom,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/805_Cap_Bottom_00805.pdf"", ""title"": ""Návodka""}]"
806,43A h.,Witte,null,Driver,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/806_Driver_00806.pdf"", ""title"": ""Návodka""}]"
807,36B z.,AFSI,null,Trubka FR4612,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/807_Trubka_FR_4612_00807.pdf"", ""title"": ""Návodka""}]"
808,43C b.,Witte,null,Housing,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/808_Housing_00808.pdf"", ""title"": ""Návodka""}]"
809,43A h.,Witte,null,Cover,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/809_Cover_00809.pdf"", ""title"": ""Návodka""}]"
